NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
2710192100;1016243896;637304092;569284378;0
7214200000;327741586;192867426;182538542;753643
1101000000;316798092;100576082;92805192;2163548
2523290000;261344214;27592731;23196034;27535
2710121330;170592293;136811543;119175948;95220837
1001991000;166723335;29121558;25865178;447292
2710121340;75845257;63263324;54167050;44031277
1005901100;73301489;9847146;9108893;62993
2713200000;47055257;24455950;20376903;371702
1107100000;43267250;26466374;23837162;1129031
2715009000;37883032;21256012;17881969;5398912
6907220090;37343184;7812103;6036062;956087
4410110000;37163862;15449269;12994274;738027
808100000;35537672;15112662;13947929;470156
2710192200;33868519;19866750;19866750;
701900000;33401090;1448752;1353716;1008348
3904102000;30719880;28995769;26197550;1047852
1901200000;29412430;15087221;14446941;140526
3402200000;29289146;26238437;23593463;4699735
6907210090;29016687;10258626;7693072;6497239
7216210000;25603044;16744011;15873000;3486532
3901200000;24774088;32142540;30259586;6076902
4802569000;24693745;22171375;20695578;777665
3902100000;23977949;30079551;28214244;222768
1006300000;22506642;11705464;10322312;25515
7210610000;22275985;15108978;13366164;10136480
7306309900;21712167;17211714;15564503;6480388
7210490000;21204512;15618079;13929643;9044571
2710121320;20500000;18799902;13639120;13084732
3901100000;20050034;27788662;25751816;4483310
2203000000;19870864;11168021;10401234;2033778
3102300000;19733680;9375387;8128489;0
7210701000;19364913;14120575;12374471;4913968
3102101000;19155002;6554802;5943696;0
2807001000;19036215;2418003;1397870;638708
7005299000;18737530;5862700;3873950;2481815
3907619000;18476369;19833344;17964414;0
4011201000;18062484;44071151;41168311;28578701
3808931900;17938263;62930981;59715667;23172348
2710193800;17795437;38238221;35569195;15086270
6907400090;17539739;4108478;2399369;3780419
8704311000;17311583;135758833;129047259;72316242
3105300000;16422706;7736950;7245834;0
3808939900;16079071;35522689;33021500;17553503
8703239010;15897885;157532530;150752299;82399204
9619001010;15848514;46862596;43710980;4607695
7209160000;15520414;8978763;7992725;3122789
7005211100;15450068;4926023;3534189;3358331
3105200000;15137310;10253111;9282920;0
7225300000;15024429;8066225;7080553;2807045
7308200000;14968537;22871288;20985202;5734354
2309109000;14909817;15455622;14188568;164386
2833110000;14803476;2016098;1265206;1386546
8702901000;14730993;88853881;85433101;61842700
4703290000;14475627;8887118;7431457;96954
703100000;14328468;645339;602895;673404
7326110000;14295604;12370041;11461484;4593034
4804110000;13787016;9156583;7716265;2179877
6907210010;13649527;5126480;3925514;1867044
4011101000;13600479;42100485;38835469;22711867
8429520000;13577393;65888828;62245341;0
8704230000;13060587;59515042;54969914;18279656
8703229000;12992648;105291992;101135394;67480845
4805190000;12909692;8030533;6951194;1129
7227900000;12765783;5432951;4953792;1637837
7308909090;12640873;27927643;25244713;10248909
7225400000;12107646;6585296;5838015;2285245
8701200000;11504165;58064472;54413029;19595912
2517100000;11494531;469422;215306;3439
3903110000;11388529;18162908;16437949;8736868
2202990020;11374140;7529492;6531170;343596
2835260000;11368269;6676272;5844992;1870930
7213100000;11151471;6384649;5861182;0
7210300000;11025653;7461773;6760279;2596682
6809110000;10908302;3159445;2189917;105714
6912000000;10613103;6955959;6247874;4289749
7208399900;10588723;5927400;5320884;596701
7304290000;10410039;17668396;16313769;4662172
7217100000;10384355;8045141;7301185;1093699
3305100000;10334278;20314526;19127913;4522584
7005291000;10309307;3019627;2118152;1819009
2836200000;10301659;3972466;3500755;2764594
3105400000;10254007;5082826;4523454;0
4707900000;10170042;4202985;3276368;2021861
2309909000;10101982;17055179;15876965;5499850
1201100000;10082342;5583560;5166495;232
8711200000;10004069;40754742;37809000;28274520
8479899000;9730356;116992993;109090907;0
7209170000;9564165;5851792;5278934;2036427
303890000;9558978;11969096;11109681;193
2701110000;9511971;1225762;866934;1399
2835250000;9503384;4357561;3591061;865778
4802579000;9392002;7845592;7142044;619896
1701999000;9264458;4715893;4184474;3402
8407340000;9052563;18370053;17196577;12785849
7302100000;9049871;6442161;5401549;2236510
7213919000;9049675;4931652;4608622;282492
1704901000;9025385;14682216;13691319;2654398
3105909000;8723850;7309952;6498800;0
4819301000;8510661;9891756;8911962;659019
7306610000;8427510;6505795;5816716;1679276
4411140000;8376141;4170914;3468917;1168562
1108120000;8339254;3749536;3366589;9902
7217200000;8324586;8931310;8447284;1009731
9403500000;8255708;7285886;6861497;444267
6006320000;8236503;17595836;16953073;11734720
8429510000;8194872;31810439;29920087;0
7214991000;8120135;4735158;4525963;41752
4801000000;8059708;4920550;4074576;1082261
7209270000;7926195;4875580;4457775;1686132
3920100000;7825374;22234565;21131536;2163820
3808911900;7785429;64115425;62230435;30434542
4411130000;7727494;3719466;2994881;1349453
9503009900;7714967;16131542;13976892;10899917
2008702000;7704750;4380041;3901052;2817547
4802559000;7692083;7193339;6489503;366907
6910900000;7055918;8742523;7976992;1195293
2815110000;6882278;5500908;4847844;315673
7306900000;6872346;5358526;4959562;355183
7308901000;6860240;10629808;9670395;4646854
4810190000;6833718;5469173;4751031;3751637
8701940000;6593900;38631921;35427961;0
7213911000;6527242;3723673;3581130;0
2837111000;6488147;12745370;11279531;749071
5515190000;6216517;10406550;9996590;7241341
7228300000;6215148;2905160;2414806;2020602
