NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
301190000;77;768;601;1070
402109000;3;127;95;177
402211900;0;15;10;21
410000000;218;7518;6880;10465
604900000;4;254;243;354
710801000;179;5865;5347;4082
712390000;1145;3257;3012;3400
712901000;1157;10279;9677;7154
712909000;821;5550;5106;3862
804100000;627;1515;1404;1055
811909900;158;335;299;350
901211000;79;669;529;698
901212000;6;202;197;563
902100000;190;5662;5357;5911
902200000;263;568;514;593
902300000;7426;11641;9423;16204
904120000;1249;3250;2932;3394
904211000;503;2990;2748;3122
904229000;4;776;729;810
906190000;116;89;84;62
909320000;114;1545;1466;1076
909610000;330;859;756;598
909620000;1120;3142;2886;2188
910999000;17;77;56;54
1006300000;121;679;651;473
1102909000;2061;3226;3014;2245
1106309000;1;39;17;54
1109000000;22176;41506;37290;57776
1206009000;202;190;173;132
1207701000;59;5893;5700;2051
1208100000;1280;770;720;804
1209300000;8;1282;1204;446
1209915000;197;577604;566625;402014
1209919000;1022;106734;102697;37145
1209999000;134;13387;12657;0
1211909090;124;2788;2285;1940
1212210000;565;6867;6466;4779
1212991000;12;1257;1165;875
1301909090;18144;47957;46241;33378
1302192000;227;14287;13625;14916
1302199900;387;15582;14576;16268
1302310000;15;854;792;595
1302320000;2057;4392;3980;3057
1302399000;2137;15147;14305;15813
1505009100;446;3772;3500;1313
1505009900;108;1469;1420;511
1514990000;109;744;713;518
1515300000;2340;3227;2849;4491
1515500000;11254;18276;16094;25442
1516100000;861;4729;4446;6583
1521901000;3305;9647;7890;10072
1604131000;288629;222397;187856;154788
1604150000;66405;56697;48370;78922
1604200000;717548;714497;639255;497291
1605510000;94;1037;986;1083
1605530000;106;948;900;989
1605560010;94;855;813;1190
1702191000;160;2461;2217;1713
1702301000;743377;536030;424382;186543
1702302000;321960;179752;142397;187660
1702309000;48800;29029;23297;30306
1702401000;149032;79024;65000;55000
1702904000;202;3778;3645;5259
1702909000;984220;474301;351725;330113
1704101000;597963;381090;296937;265242
1704109000;1003428;515887;342619;718111
1704901000;1558548;1098444;731191;1529040
1704909000;1177839;687666;460715;957230
1805000000;50500;88575;80450;61649
1806100000;40400;66851;58221;46529
1806209000;22537;22607;18794;31468
1806310000;145850;118672;79927;82594
1806320000;112099;98608;71370;68630
1806900000;783210;505611;356904;703810
1901902000;4903;1459;1350;2031
1901909000;31;82;66;114
1902190000;24227;30643;28052;21331
1902300000;12077;24968;22487;17379
1905310000;19596;11776;5504;8197
1905320000;3120;4390;3218;6111
1905901000;577;1112;1040;773
1905909000;95368;92919;63963;129342
2001100000;218;626;600;872
2001909000;1951;2622;2450;3649
2002900000;51873;43023;36156;44916
2003100000;506324;588084;524155;818612
2003900000;104976;117441;99393;163476
2005200090;10420;37747;34089;26272
2005600000;880;15173;13992;21121
2005800000;17691;19979;18212;27811
2005910000;519;640;574;892
2005992000;1772;5519;4905;7683
2005999000;7615;8046;7462;11200
2007911000;92035;35957;23443;50051
2007991100;98967;50759;37977;35328
2007999100;3184997;1156370;756985;1609668
2008300000;28000;27206;23058;37871
2008702000;552606;238872;166399;332513
2008970000;42639;33089;27361;46061
2008999000;78;28;25;39
2101200000;1194;133527;132575;92935
2102109000;21568;73640;69653;76880
2102300000;10502;9986;8214;6951
2103100000;82451;84350;70391;58712
2103302000;110;958;888;667
2103902000;146808;101070;88470;70346
2103909000;29972;46642;41303;32464
2104101000;30;92;30;64
2104102000;4325;3179;2916;2213
2106101100;18695;37990;35634;26444
2106101900;975;814;721;567
2106901000;19757;92660;88994;64491
2106902100;34699;14225;11179;9900
2106902900;24289;11848;8131;8246
2106903000;20;261;227;91
2106904000;0;2;1;2
2106906900;0;27;25;19
2106907100;1781;117409;111906;81717
2106907300;5322;201736;194248;140410
2106907900;21609;50163;46643;34913
2106908000;18;226;180;157
2106909000;24026;37673;32940;26220
2202990010;162120;116616;99456;81165
2202990020;63468;55972;45450;38956
2202990090;380896;233155;196563;162279
2203000000;860;394;330;1097
2208709000;14730;22198;19210;61798
2209000000;8402;10594;8924;14748
2309901000;10351;16121;15682;16830
2309902000;279224;1102750;1059329;767520
2309909000;752941;1283515;1165212;893327
2402202000;1500;10822;8826;30128
2403990000;39;660;611;460
2501002000;42371;21421;18454;7454
2504100000;40628;29471;22425;10256
2505100000;2815;1449;1343;505
2505900000;11169;10749;9977;7482
2506100000;83985;55184;47782;19205
2507009000;40;64;40;22
2508100000;121159;33810;22491;23532
2508400000;22129;12673;9154;8820
2510200000;0;22;1;0
2513100010;261;446;417;310
2513100090;810;2223;2049;774
2513200000;12472;4476;3475;1557
2514000000;515;423;372;147
2515120000;2;29;25;10
2516110000;20000;6147;3497;2140
2516120000;100440;38273;25154;26639
2516900000;2152;6993;6375;2436
2517100000;125;657;600;457
2519902000;34410;15758;11475;5484
2523900000;13259;1882;990;1310
2525200000;31;344;210;120
2526200000;25142;9964;6391;3467
2528001000;4100;1959;1800;1363
2530100000;488;240;216;84
2530900000;3787;38476;36796;13390
2602000000;3589;9489;8747;3302
2610000000;3049;2504;2250;871
2707509000;776;297;248;103
2710129900;4;21;20;15
2710193800;219;746;695;519
2711130000;2865;5917;5426;4118
2712109000;22858;44518;40184;30985
2712200000;2876626;1409967;1129477;981343
2712901000;126;1310;490;912
2712902000;3257;7702;6060;2680
2712903000;3092;7201;6612;2506
2712909000;67;805;628;280
2713120000;508;807;725;562
2715001000;780;2734;2520;1903
2715009000;18500;25472;21283;17728
2801200000;6140;53850;47280;18740
2803009000;10200;14314;12745;2
2804210000;53440;104913;95092;73020
2804290000;3666;10578;9239;7362
2804300000;19;1480;1233;1030
2804400000;2;12;10;8
2804701000;1;2;2;1
2805120000;2100;7161;6793;2492
2807001000;41440;14698;11300;10230
