productos;kilos;valor
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,REVESTIDOS DE ALEACIONES DE ALUMINIO Y CINC.;19642233;92138906
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,PINTADOS,BARNIZADOS O REVESTIDOS DE PLASTICO,REVESTIDOS PREVIAMENTE DE ALEACIONES DE ALUMINIO-CINC;19237713;97754750
LAS DEMAS PLACAS Y BALDOSAS, PARA PAVIMENTACION O REVESTIMIENTO, EXCEPTO LAS DE LAS SUBPARTIDAS 6907.30 Y 6907.40, CON UN COEFICIENTE DE ABSORCION DE AGUA INFERIOR O IGUAL AL 0,5% EN PESO;18446456;35353637
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE HIERRO O DE ACERO SIN ALEAR CINCADOS DE OTRO MODO;17655096;87021289
LAS DEMAS PIEZAS DE ACABADO;15603730;24377723
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,ENRROLLADOS,SIMPLEMENTE LAMINADOS EN FRIO,DE ESPESOR SUPERIOR A 1 mm PERO INFERIOR A 3 mm;15514560;62435993
NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO DE LOS TIPOS UTILIZADOS EN AUTOBUSES O CAMINONES: RADIALES;15161004;228781333
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE LOS DEMAS ACEROS ALEADOS,SIMPLEMENTE LAMINADOS EN CALIENTE,ENRROLLADOS,DE ANCHURA SUP.O IGUAL A 600 mm;15024429;56140924
VIDRIO FLOTADO DE ESPESOR INFERIOR O IGUAL A 6MM, COLOREADO EN LA MASA, OPACIFICADO, CHAPADO O SIMPLEMENTE DESBASTADO, SIN ARMAR;14616507;32190959
SULFATO DE DISODIO;14406610;13170631
TROLEBUSES;13587885;550320574
LOS DEMAS TUBOS DE ACERO  SOLDADOS DE SECCIÓN CIRCULAR;13138242;63842928
LOS DEMAS  HERBICIDAS, INHIBIDORES DE GERMINACIÓN Y  REGULADOS DE CRECIMIENTO DE LAS PLANTAS PRESENTADOS EN FORMAS O EN ENVASES PARA LA VENTA AL POR MENOR O EN ARTICULOS;11917905;163931160
