NANDINA;PESO;VALOR
7210610000;19642233;13238350
7210701000;19237713;14045223
6907210090;18446456;5079548
7210490000;17655096;12503057
6907400090;15603730;3502549
7209160000;15514560;8970689
4011201000;15161004;32870900
7225300000;15024429;8066225
7005211100;14616507;4625137
2833110000;14406610;1892332
8702901000;13587885;79069045
7306309900;13138242;9172836
3808939900;11917905;23553329
7225400000;11826776;6074533
7326110000;11375265;10631912
7210300000;11007383;7438067
7227900000;10769513;4327818
3907619000;10535753;11198897
6912000000;10120327;6023890
7209170000;9564165;5851792
7005299000;9502310;3004672
3808931900;9128007;25592317
8704230000;9115412;32493069
8711200000;8779899;33217891
4011101000;8169103;19435745
6006320000;8110900;16789195
6907210010;8047777;2057752
7209270000;7914133;4826205
7005291000;7896621;2244070
3402200000;7650493;5288504
9503009900;7410924;14686979
3903110000;7246437;11193884
8479899000;6586117;91931718
7228300000;6119375;2773133
5211420000;6020030;10426566
2835250000;5989758;2244311
7005100000;5737670;2095588
5515190000;5732278;9390941
8712000000;4824911;6552913
3808911900;4824574;31506766
8703229000;4711296;27714547
7304290000;4501948;4437735
7013370000;4399347;2128753
7005219000;4180980;1428065
7210709000;4149568;3292191
8609000000;4050599;6618185
7210410000;3984261;2681573
8704311000;3831507;19071962
9503002200;3671356;7000136
4810190000;3627466;2609919
5903100000;3444623;4653324
9406900000;3406771;7472053
2712200000;3403792;1720608
7208399900;3390154;1714655
5515110000;3264536;5367399
7604102000;3187856;5976508
9503001000;3136790;4538529
8541401000;3061286;17327848
9619001010;2987256;3914967
7208530000;2950396;1536441
4411130000;2889386;1466516
7209260000;2815777;1711217
7208529000;2737450;1409731
6907300010;2733524;504295
7306500000;2726408;1394350
7210120000;2691973;2457389
3926909000;2663321;7066810
7216990000;2653973;1546847
3924109000;2621546;4111697
7318159000;2603301;3646275
6907220090;2581596;726323
7013490000;2559811;1862246
7306190000;2552965;1285174
7323931000;2500244;3443098
7209280000;2486227;1592440
8523410000;2482699;3972631
5512190000;2479657;4134421
5209420000;2453895;3898809
7009910000;2441253;1090947
7604292000;2403963;4656663
7614900000;2398397;4814673
3925900000;2390383;2315717
7323941000;2380893;2238793
7306610000;2373689;1567598
1704909000;2268861;1055987
7604210000;2266294;5296028
9617000000;2226472;2560671
9503009300;2193095;4622185
6809190000;2169485;596902
3919100000;2131526;2515536
4202991000;2081471;4418666
7217900000;2074036;1735825
8415101000;2021411;8020487
8516790000;1977954;3705903
3921909000;1971354;2875581
6907230090;1971187;495208
7208540000;1957253;1030215
8714109000;1938905;3775006
8704321000;1937443;6728264
8539229000;1932982;2809865
8430490000;1879072;7039943
8429400000;1875502;9769870
9405109000;1827992;5603758
7304190000;1824949;2606916
8417809000;1819457;10514359
3918101000;1813820;1123020
3102210000;1808958;436264
7308901000;1797615;2761071
2835260000;1788710;1131380
7005211900;1778981;617049
9506910000;1762817;3642982
7326909000;1731651;3450506
7308909090;1723405;3746384
6402200000;1708007;3016250
3808921900;1685624;9330113
6911100000;1685140;1876173
5209390000;1668331;2429307
8429520000;1666990;14209848
8509401000;1658940;2975368
7303000000;1657620;1683165
1604200000;1631293;1625923
8406810000;1630895;15051909
4411140000;1621266;931618
2832209000;1592024;655450
8418102000;1569210;4426176
6907230010;1542149;379310
9506620000;1537265;3011697
4011400000;1533537;2772962
9505900000;1532337;2131835
7308200000;1524150;2266693
8544200000;1519087;4316348
8702301000;1512105;8689690
8715001000;1498230;2104464
7217100000;1494627;853109
2918140000;1475052;1505433
7308400000;1473736;2602247
8708701000;1465690;2014895
8708802000;1444584;2785489
9503009600;1426468;2516320
8429510000;1410695;7422824
9503009500;1357385;2263275
3105300000;1354613;633100
7003192000;1346344;451564
2915121000;1345268;373283
7321111900;1340510;3804656
3402111000;1340467;1845039
3307909000;1331331;908753
4011209000;1310381;2951054
4818100000;1306354;1405574
8704229000;1303604;5077595
8414510000;1294094;2129741
3604100000;1283963;2546688
8431490000;1281421;5150792
7610900000;1279529;2190539
7228700000;1263240;681939
8415811000;1258996;5394978
8452290000;1234684;2606771
8421230000;1233685;3261330
3102101000;1214410;441195
6907220010;1206399;302228
5407520000;1177840;2173670
5903900000;1166949;1518854
9403700000;1164899;1625569
6910100000;1161144;1187382
6404112000;1154737;8826027
8428109000;1141523;3048005
9505100000;1128923;2402899
3921120000;1113477;1062055
9403200000;1108064;2125917
7212200000;1102890;553023
2007999100;1095538;489419
8544499000;1092333;2582441
8302420000;1091076;1853893
8518290000;1090264;2121475
3924900000;1088398;2511092
6910900000;1076928;1062876
8450110000;1076359;2965265
8509409000;1073980;3805392
8418211000;1072822;2924174
8450200010;1067006;3627497
8467290000;1063125;3618508
7606129000;1062725;1922201
8474320000;1055758;4527871
2827200000;1046664;465285
4202121000;1041628;1676921
7312109000;1034858;1238367
7217200000;1030222;823130
8518210000;1028846;2526038
2309909000;1025658;1357779
8528720040;1023985;6284490
8507200000;1022845;6257043
3926100000;1016258;1755874
8429200000;1012216;8498000
9607200000;1011590;964869
1704901000;995216;808423
9607190000;986080;1153959
8311100000;984508;1051840
4809200000;965598;1398066
7210690000;958414;680876
1604131000;955809;840743
8527190000;952890;1882604
6907300090;952775;259391
8418103000;950288;2565717
7323991000;946853;1312219
2008702000;944138;510116
7317000000;935599;636266
3503001000;925134;2010019
7213919000;917986;407334
8474900000;913502;2584203
8513109000;894214;1886521
3926400000;887683;1434277
2915310000;883922;870705
4202220000;870362;3714171
8544700000;867201;3457488
8703239010;865818;6298237
5512990000;865022;1514654
5703300000;855319;1237068
8716801000;850221;751913
8504409000;833141;6140805
1702301000;832534;569686
8302109000;813619;1191934
1702909000;807063;450090
3907699000;799742;885650
1704109000;795969;505099
4802579000;794082;402526
9401300000;793858;1226989
2836300000;782634;269637
8215200000;778702;807187
3921199000;775202;1976099
8704319000;772928;3701888
7606911000;771276;920910
6006340000;768216;1522106
8481801000;765058;2856835
6802230000;764310;249400
2922410000;762720;1034268
1704101000;761372;549654
4417009000;747933;347420
3824400000;742186;922912
7007110000;740614;899455
8516500000;731841;2397000
8418500000;729060;2313859
3808929900;728508;2586574
3920610000;717767;1703421
1702302000;716233;383880
8429110000;715970;4518165
3923299000;713246;1182940
8418300000;713052;2029440
3105400000;709550;348596
8539313000;702996;1164406
7211140000;702840;387351
7614100000;691964;1438839
8708999900;685102;2578815
7210500000;683209;584484
3208200000;680536;1466453
4818200000;675580;499514
8467210000;674362;2264402
3402901000;671949;364317
9018312000;664291;1937605
2830101000;657710;408804
9506700000;657077;1142973
7003191000;652554;321377
4810131900;651230;564887
9401790000;647953;1356788
8302200000;640759;682018
8714990000;640417;1238518
8452901000;639307;420248
7210900000;636872;400954
7318160000;631487;878870
6802930000;619802;247130
8516100000;618178;1111150
6404190000;617841;4548130
3208100000;608817;855409
4411920000;608678;314069
9609100000;608280;2047069
2815110000;608009;442648
4810320000;605656;434404
3808919900;598718;3314722
5512290000;594894;943500
8716900000;588178;705211
3920490000;586637;947235
8418109000;585772;2088329
3920209000;585769;1460304
7304590000;583077;879911
8301100000;582431;1023620
8203200000;582344;1020660
3923101000;575747;363413
7209181000;575534;347985
5705000000;574821;753908
8516400000;572230;1461318
7006000000;571833;254386
9608100000;567337;1620019
8431410000;566618;1156848
8301409000;565846;2106434
7214200000;562262;262197
8546200000;559613;575395
8705100030;555531;2706497
8705400030;550150;2539548
7013280000;550091;390954
7326200090;543297;949983
8521909000;537664;19432687
7007210000;537421;721385
8529102000;536667;978317
7013990000;535375;740168
9405300000;534185;845631
8543709000;531978;3045046
9405409000;531207;3688723
3919909000;531203;1088677
8544609000;531034;2186917
7302400000;529115;875399
2923100000;527800;387802
8473300000;526217;4140207
4811909000;524269;615963
9401800000;521261;861482
4011900000;513962;510770
5503200000;513370;342194
6809900000;512895;135690
8215990000;512727;561993
5515130000;505845;2440069
8474202000;504924;1538986
9401710000;503971;1086047
2922421000;501939;295685
8425422000;498880;597204
3506100000;497553;680085
8418212000;493363;1364421
7318190000;492344;587652
5810920000;491194;871702
7306301000;488735;455066
4013900000;485133;712211
8517700000;484755;21983025
7304230000;484236;1540038
9603210000;479120;985418
4412990000;476796;395226
9613100000;474878;1005223
8516601000;474877;1186871
8518300000;473936;2349381
9017801000;472559;793123
4820300000;472171;609195
8704100030;470500;1452578
8477100000;469386;1359274
9608200000;465246;1191564
2832100000;457444;213922
8704222000;456265;1914656
8507100000;453290;962747
7306900000;451147;385232
2836200000;450796;174004
8414802100;450405;753407
8518220000;443295;993534
5516140000;438753;644431
7216500000;438578;208923
7306309100;437812;351508
8415109000;436698;2452436
8539500000;436257;2260449
7208399100;435722;221658
2922509000;435433;689267
8503000000;433616;3684725
4809900000;428819;366649
8410900000;422337;7233653
6404111000;417474;4505379
3808590000;417281;1749936
8506109100;415361;171533
2905122000;415186;497017
9403300000;410457;379191
4818300000;408838;587222
4901999000;407228;2318572
3816000000;406177;170267
9503009400;405763;789262
6505009000;404060;1132517
8515390000;400843;1511250
7208900000;398355;199109
8517699090;397971;23321217
8701200000;396720;1932299
3917399000;394225;577750
3918901000;393067;839197
7318110000;390838;415601
9405200000;390105;1066433
8537109000;389941;6369683
8418101000;385747;1106417
8201300000;383006;289070
8517629000;379132;26997573
4202920000;375491;2790566
7223000000;375281;205049
8708299000;373560;1030533
9405401900;371635;2636131
8474209000;371378;691017
7315120000;370863;586906
7318120000;368591;545741
8302500000;367880;625382
9503004000;366775;662435
6601100000;366450;380249
8516320000;365729;2238523
9506999000;364487;1453782
8474109000;364263;3285114
5801330000;363555;680842
2003100000;361980;328934
8546100000;360644;641746
3004902900;355448;2009156
8512209000;354910;1126769
7225920010;354204;329478
4819400000;353591;491898
8417802000;353098;1546655
8450120000;351776;1175659
8708301000;350994;755572
3402119000;350618;482100
4805939000;348119;374886
8501640000;347635;2754719
9503009200;345649;653661
6702100000;344753;754637
7306400000;337932;1046000
9402909000;335714;1559001
7315110000;333010;736046
3808931100;332053;742131
7321909000;332005;357057
6402999000;331780;3281444
2835310000;331708;342499
8423100000;330945;1214614
5508101000;330618;343293
8705909030;330500;2037482
5401109000;329821;463680
8455220000;326823;722498
2929101000;324218;1097331
9404900000;324125;1552882
5407420000;323254;884352
7211199000;322799;133872
