NANDINA;PESO;VALOR
7210701000;23916481;18280649
6907210090;20389035;5164831
7210610000;18261740;13192916
6907400090;16811104;3551879
7210490000;15417305;12314026
4011201000;15362297;33032534
3907619000;14669542;18659213
8702902000;14111316;75788409
7005211100;13751662;4529278
2833110000;12070144;1707154
3808939900;11904521;30867208
8406810000;11470758;115807588
7306309900;11022493;9357854
7005299000;10757241;3859971
6912000000;10507075;6850963
3402200000;10240815;7408405
7225400000;9947561;6781758
7326110000;9924570;10828182
8711200000;8882388;34526819
7209160000;8839675;6200729
7209170000;8803173;6240486
7210709000;8801992;7046081
6006320000;8699029;16075924
4011101000;8520335;20042598
6907210010;8404496;2200796
7005291000;8163326;2459867
7210300000;8092076;7109507
2835250000;7745824;3149762
7209270000;7262083;5146349
7308200000;6873169;12542840
3808931900;6859026;25627811
7302100000;6252735;5533213
9503009900;5944315;12818616
5211420000;5863577;10979664
8703229000;5825634;33782221
7005100000;4983866;1897064
8712000000;4950251;7956565
7005219000;4822722;1686606
3903110000;4623568;7237270
7005211900;4485473;1548386
6809190000;4247676;1314745
8704230000;4051675;14219013
9619001010;3857597;5012219
3925900000;3851036;3417376
5515190000;3609596;6527293
3808911900;3527695;35769525
7604210000;3511341;8673641
7210410000;3498767;2236299
8704311000;3455635;15874411
7225300000;3447158;2471486
7210120000;3430341;3384990
4411130000;3424667;1698458
7304190000;3413139;3537074
5515110000;3411554;5263792
7604292000;3383492;6731905
7216500000;3378551;2071099
7013370000;3332672;2018876
5903100000;3313546;5087306
7318159000;3279682;5211034
6907300010;3257062;574196
2007999100;3184997;1156370
3307909000;3109387;2065299
2832100000;3055862;1455493
8541401000;2951245;17394840
7208270000;2918795;2142207
2712200000;2876626;1409967
8417809000;2816067;15455563
4011209000;2801885;5252921
7208399900;2753007;1954789
9503002200;2749148;6415559
3926909000;2741762;7615507
3924109000;2677839;4876263
5309190000;2622050;2654511
2815110000;2556178;2042938
7308909090;2547591;9751251
9503001000;2504219;4070002
8704321000;2478090;8520065
7323931000;2471432;4462344
7208530000;2468175;1578505
7009910000;2461151;1081216
8544700000;2361718;6932273
5407520000;2358858;4485390
8714109000;2350955;4745308
7604102000;2274213;4575113
7208529000;2260400;1471413
7308901000;2209691;3168637
6907220090;2202684;600353
8431490000;2149039;11441992
8609000000;2128733;1761527
7013490000;2095149;1950498
5512190000;2079505;3416374
3919100000;2076958;2679105
7308400000;2049439;3354649
9617000000;1997002;3554353
3921909000;1946026;2936347
7306500000;1943196;912065
9503009300;1887268;4860132
7321111900;1886358;3908223
9406900000;1879980;5055300
3918101000;1871700;1405559
4810190000;1795088;1377584
4202991000;1777134;4815624
7217900000;1752320;1569129
8544200000;1749887;4431264
8474900000;1714407;6952935
9405109000;1707786;6324701
9506910000;1692344;3811547
8523410000;1684701;2672570
6907230090;1668901;442234
7326909000;1593156;4293377
7209260000;1577000;1117044
9505900000;1574687;2495285
3604100000;1559301;3467092
1704901000;1558548;1098444
7323941000;1529423;2067118
7312109000;1524169;2409726
8539229000;1512330;2708559
4411140000;1493155;942419
9503009500;1478034;2785888
8415101000;1445226;6007108
8544499000;1444083;3463464
9607190000;1419440;1315941
2835260000;1418030;879212
7314200000;1412193;1566649
9503009600;1389651;2973227
9607200000;1389640;1258591
6907230010;1385712;335513
6911100000;1383012;1453555
8715001000;1367104;2127130
3920490000;1357418;1457636
8421230000;1342108;3514001
8509401000;1335294;3079500
8516790000;1329774;3097817
7306610000;1326665;1139466
8481100000;1319305;2699892
3924900000;1317922;2967591
7317000000;1314830;1047228
8452290000;1302851;3284499
6402200000;1285780;2397851
5209390000;1281792;2119892
