NANDINA;PESO;VALOR
7210701000;29657654;23155349
6907210090;27320061;6842308
3907619000;18816099;22383220
4011201000;18056920;39167007
7210610000;16391556;11645106
7210490000;15783485;11827414
3402200000;15683648;10416482
7005211100;13514169;4674834
8702902000;12520346;64018150
7225400000;12517509;7865308
6006320000;12128491;20177701
7005299000;11823725;4130854
6907210010;11319660;2700238
2833110000;11233449;2087984
7005291000;10818296;3612148
7210709000;10631324;8161461
7308200000;10330116;15234304
7209160000;10113182;6630160
7209170000;9981273;6679651
3808939900;9959537;24071010
7326110000;9627363;10636842
6912000000;9505636;7001372
8703229000;9232144;54416150
4011101000;9221498;21650433
7306309900;8782426;7037408
8711200000;8720698;34546123
7210300000;8607973;6627333
7227900000;8534602;4903775
7209270000;7691084;5109407
6907400090;7108144;1817943
2835250000;6840763;2648257
7216500000;6833644;4515278
7005100000;6385568;2445132
9619001010;6373026;8232651
8501640000;6318521;25254354
3808931900;6214966;24958628
3903110000;6206103;8672896
7306190000;5851264;7338490
7614900000;5726912;13780351
5407520000;5397508;8538586
4411130000;5250243;2470518
9503009900;5228294;12505670
7303000000;4981807;4585416
5515110000;4734721;6523814
8502310000;4394741;15502554
7210410000;4327347;2908784
7005219000;4222020;1543220
3808911900;4157537;32158186
7318159000;4126511;6281846
6907220090;4119392;1070635
8704311000;4037652;19627908
3925900000;3919329;3578696
6809190000;3897883;1115519
8712000000;3843391;6997298
8704230000;3808827;11959521
7604292000;3781070;10057454
7304190000;3574114;3420998
5903100000;3437346;5210488
2712200000;3432413;1768190
7308901000;3394066;4446232
7604210000;3355124;8832924
7013370090;3087591;2117109
3307909000;2954621;2014854
9406900000;2915735;4647201
3926909000;2873090;9296254
8704100090;2746000;12927084
9503002200;2731916;7402325
3924109000;2706245;5926642
7009910000;2697282;1252026
5211420000;2684088;5394556
7323931000;2608088;5265410
9503001000;2552138;4354533
4810190000;2468544;1849606
7326909000;2459004;5747433
3918101000;2457480;1867892
7209260000;2457222;1580414
8704321000;2428706;8097572
5515190000;2335373;3917754
8714109000;2333883;4893508
7208379000;2294179;1378306
7013490000;2212681;2393908
7208530000;2192282;1438755
3919100000;2166051;3159053
3105300000;2119642;1092100
7217900000;2096756;1535000
6907230090;2025190;603924
7308909090;2006364;5750793
7308400000;2004343;3562552
8544700000;1987847;8451747
7003192000;1956083;746228
7308100000;1947737;4345557
8544200000;1942475;5876250
9505900000;1908222;3522888
7209280000;1898587;1399917
7321111900;1893110;3598117
9503009300;1873634;5131567
2832100000;1864632;918462
7208529000;1844865;1189949
3604100000;1829017;3838283
7208360000;1822759;1095085
2922410000;1794690;2047328
4818100000;1779406;1712963
8523410000;1758561;2953834
7317000000;1743460;1328240
5512190000;1730805;2513788
9617000000;1720212;3396749
2837111000;1717143;3236550
4411140000;1711876;1093443
1704109000;1710101;1133601
9506910000;1707817;3933270
7604102000;1677784;3371374
8431490000;1667094;5432015
7005211900;1623097;549715
2835260000;1603885;1080158
9503009500;1596490;3490828
8609000000;1595026;1526289
2815110000;1591405;1078904
7306610000;1588896;1230384
4202991000;1576065;4801946
8418102000;1555581;4505782
7208540000;1541752;1029691
8539500000;1538392;6747979
7208399100;1531774;1157227
6910100000;1512009;1627339
7306500000;1493651;661180
8708701000;1487544;2378257
7304490000;1487012;795033
7228300000;1479259;1279631
7217100000;1476022;1057717
8705400030;1466681;5103264
8509401000;1457831;3828874
2827200000;1443432;548497
8516790000;1440436;4501569
9405109000;1434697;5779640
8428109000;1432090;3835075
3921909000;1425922;2539222
8708802000;1421894;3264653
8528720040;1408154;14096806
8302420000;1374419;2669982
7616999000;1368698;3997637
9403700000;1362623;2293235
7209181000;1359632;916736
6802930000;1342583;822907
3921120000;1323326;1206689
8539229000;1317679;2757860
2918140000;1315506;1010884
2915121000;1314461;488576
9403200000;1301699;2599715
6402200000;1280262;2700842
3924900000;1280156;3356310
2915310000;1259039;966095
8452290000;1238138;3452268
8421230000;1219374;3171341
5703300000;1217978;2229986
6907230010;1209981;307892
4011400000;1206732;2319067
8715001000;1200261;2057346
6404111000;1190905;5329459
8544499000;1179738;2604225
3921199000;1160393;2313770
8474900000;1158176;5431007
3102210000;1154262;298990
6910900000;1152451;1178849
1704909000;1150839;724615
8704229000;1143376;4292156
2922509000;1141718;1338947
7606129000;1121358;1799384
4011209000;1119777;2168544
8704100030;1117172;3436981
5903900000;1116187;1557322
6911100000;1115013;1694322
4810920000;1103588;822979
1704901000;1097466;794485
8415101000;1093933;4856921
8518210000;1078766;3544030
3208200000;1066266;1755712
9505100000;1058836;2836341
3402111000;1056020;1143590
8414510000;1051565;1953372
8703239010;1042262;7599524
8450200010;1032746;4036864
9607200000;1029612;1047776
7610900000;1028881;1905559
2007999100;1028527;504042
7614100000;1023207;1820824
7216330000;1021670;1204709
3808921900;1017586;8694434
7312109000;1014524;1442204
8708999900;1012995;4364291
8504330000;1012688;1681023
8418500000;1008187;3310784
7214991000;1004533;908793
9503009600;997936;2615914
8430490000;979349;5620802
8905100000;976533;1077384
7003191000;972540;442504
3920490000;969598;1097507
3926400000;963001;2081756
8504409000;962906;10365670
6404112000;959886;7263264
4802579000;950451;785642
3920610000;946575;2147129
7615102000;933886;1948735
8429520000;929249;6342036
7210120000;929045;724719
9506620000;928370;2474265
8418300000;916344;2499795
8716801000;914093;870665
8474109000;910434;5069056
7318160000;908801;1347017
8509409000;902703;3770474
8431410000;901312;1661890
3926100000;898808;1807489
7007290000;898272;1135013
8311100000;894151;857890
9607190000;893296;951677
3824400000;882820;918586
7323941000;876592;1423560
7323991000;865251;2008682
8467290000;862109;3957712
8431439000;846210;4380957
8474209000;828347;2103295
8302109000;823861;1294187
8481801000;822930;3500064
2836200000;811028;329143
8518290000;797057;2679040
9018312000;790904;2078339
3919909000;789168;1510580
4202920000;789046;5146415
9404900000;782051;2747852
8418211000;776058;2177027
9401300000;772219;1265899
7216910000;772095;534842
3923299000;765541;1609307
3401199000;763980;499665
8429510000;762499;3392629
8415811000;757373;3537213
1604200000;747445;875437
1702301000;746645;540295
1604131000;733757;838642
7315120000;726549;1309991
7318190000;724023;1117194
7007210000;723267;976938
8716900000;721575;948945
5603129000;720890;807542
2309902000;720761;1133635
4202121000;718634;1652140
8518220000;698080;2225250
8517629000;694823;43812671
4810290000;694797;659104
8714990000;693240;1696345
9401710000;686389;1533191
5512990000;685549;1000839
8418103000;684115;2076163
4417009000;681828;311714
7210900000;679751;556954
9503009200;678204;1779314
4412990000;677907;506113
8418212000;676763;1716151
8708301000;673046;1441106
8302500000;670917;1653727
8450110000;657477;2308729
2309909000;655246;744982
4202220000;652456;4298692
7216990000;643664;403151
4013900000;642231;1036791
8429400000;627881;2995309
8425422000;625339;1021046
3920209000;625337;1294580
3808929900;625202;2156516
6402999000;622427;4096102
5810920000;622175;1108507
8302200000;621666;1074274
7211199000;617823;370056
6601100000;617476;669102
8301409000;611669;2770022
7217200000;610874;525371
1702909000;609420;370569
8506801000;608546;829365
6006340000;608485;1498013
3402901000;608109;311865
3503001000;607558;2510361
4811909000;607300;769688
3506100090;606477;1037660
4901999000;606086;2809197
4411920000;605836;394276
8418101000;605521;1754691
5503909000;605214;1051682
8710000000;599214;13107452
9608100000;595422;1846851
8518300000;594890;4020064
8467210000;592660;2651084
2915129000;587360;566134
7318120000;581647;1010116
2905122000;580606;597516
4818200090;575098;512864
5705000000;574994;796959
8708299000;566338;1783983
7216400000;561634;428018
7225300000;560779;339894
7610100000;557724;1474442
8479209000;557344;2695913
8708993900;551067;1942593
8516500000;547463;1969361
2003100000;545114;596236
7208270000;543970;400069
3808931100;543432;1434964
3923210000;541774;1148232
7210500000;540062;491814
7306400000;535144;672491
9506999000;533260;1499477
8414802100;532030;992988
4011900000;530716;670938
8473300090;529237;9490834
8704222000;528594;2095144
9403300000;528273;408664
8513109000;527526;1414824
8301100000;518278;1369559
9401790000;517372;984213
7307110000;515000;1107936
4809200000;512524;575384
9405409000;510921;2901649
9503003000;510060;1430720
2008702000;508501;271418
9609100000;505291;1562441
8504343000;504170;998405
2849100000;503865;393098
5503200000;494811;410455
2915399090;494272;423214
7013990000;492990;879440
8527190000;492271;1260612
4011109000;489738;1087665
8546200000;489080;483346
2836300000;487915;226034
8418109000;486180;1762200
3907203000;484989;817466
8702109090;479080;3526659
3920100000;472261;1408878
4003000000;465723;897235
1704101000;464627;447885
3407001000;463694;839445
8452901000;458767;365135
9608200000;458221;1439610
8215990000;448286;834579
1702302000;445380;238527
8517700090;444863;26909449
5407540000;444850;939735
2830101000;439158;240089
8517610000;438441;10707175
2922421000;438351;246292
7315110000;435372;938247
7307190000;435174;439554
7302100000;433876;299721
8512209000;433099;1729678
8546100000;432580;629452
7304390000;431341;438702
8215200000;429433;1130878
3306100000;429366;878300
7211900000;429221;152348
7219220000;424166;344984
8708302900;422200;1411517
4820200000;420474;765666
6505009000;417623;1487233
8201300000;417461;392288
7212200000;417394;255454
4819400000;417253;686301
8702301000;415477;1833207
3917399000;415115;828232
8544491000;412726;1065936
9405300000;410001;1250463
7210690000;409324;256678
3912390000;407255;1704967
6802230000;405040;160566
2915110000;399486;244630
3208100000;398481;584956
7324100000;390576;851855
7007190000;385966;629059
8507200010;384236;1996162
6702100000;381380;1153062
3004902900;379656;2805454
8450120000;378067;1278466
3907699000;377465;432533
9401800000;375712;872053
8474809000;374900;1981994
7318110000;371991;495168
